Sort,ID,Type,Input Text,Explanation,What does the model predict?,"How helpful do you find the explanation for guessing the model prediction?

1 (not helpful) 
- 7 (very helpful)","How easy is the explanation to understand?


1 (very difficult) 
- 7 (very easy)"
101,1110,GPT,the theme is controversial and the depiction of the hypocritical and sexually starved india is excellent . nothing more to this film . there is a lack of good dialogues ( why was the movie in english ? ? ) . there was lack of continuity and lack of passion / emotion in the acting .,"The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores given to words like ""excellent"" and ""good dialogues"". Additionally, the positive scores given to words like ""India"" and ""passion/emotion"" also contribute to the overall {placeholder} sentiment prediction. However, the negative scores given to words like ""sexually starved"" and ""lack of continuity"" suggest that there are some {placeholder} aspects to the movie as well.",Positive sentiment,4,5
102,20692,ER,"something does not work in this movie . there are absolutely no energies between the actors . in fact , their very acting seems frozen , sometimes amateur . also , the script is not convincing and not reliable .",no not absolutely not frozen,Negative sentiment,3,2
,16443,HM,,,,,
,16443,SMV,"there are a few scripts like this one floating around hollywood ; this one is not even close to the best - - just the first . this is all production value , no substance , but the disney name probably will help it . a good idea , a wasted opportunity .","The word » wasted « 
and the phrase » not even « 
were important.",,,
103,16461,ER,i´m only joking . this was potentially the worst film i have ever had the misfortune to sit through . how anybody in the 1950´s could have raised a laugh at this innane rubbish is beyond my comprehension . i jest not .,worst innane rubbish jest not,Negative sentiment,7,7
104,2186,ER,scary in places though the effects did leave something to be desired unless you have bad eyes ight or are afraid of the dark . however most of the acting was convincing and most of the effects were well done . i thought the creature looked a bit too much like a man in a gorilla suit for my liking . it reminded me of the original pink panther film .,convincing well done liking most,Positive sentiment,7,7
,16461,HM,,,,,
,16461,SMV,i´m only joking . this was potentially the worst film i have ever had the misfortune to sit through . how anybody in the 1950´s could have raised a laugh at this innane rubbish is beyond my comprehension . i jest not .,"» was potentially the worst film i have ever « 
is most important for the prediction.",,,
105,20552,GPT,"i just cant see what everyone sees in this movie . the acting is just awful , the choice of music is , mildly putting it , peculiar , there arent enough fighting scenes , the plot is non - existent and whatever small entertainment one could get from this film is ruined by the annoying way some of the movie is filmed and gives you a splitting headace .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores for words like 'awful', 'non-existent', 'ruined', 'annoying', and 'headache'. These words indicate a {placeholder} tone and overall dissatisfaction with the movie. Additionally, the low importance scores for words like 'acting', 'music', 'plot', and 'fighting scenes' suggest that these aspects of the movie did not contribute positively to the reviewer's overall opinion.",Negative sentiment,7,7
106,20590,GPT,"this movie is not realistic at all , more of a comedy than a serious war film . very old - fashioned too . maybe i was just expecting it to be on a same level with "" platoon "" . i wonder , why 50 % of the voters gave it 10 ? something must be wrong .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the importance scores assigned to certain words. Words like 'not realistic', 'comedy', 'old-fashioned', 'expecting', 'same level', 'platoon', and 'wrong' have negative importance scores, indicating that they played a significant role in the analyzer's prediction of {placeholder} sentiment. Additionally, the word 'war' has a slightly negative importance score, which may have contributed to the overall {placeholder} sentiment prediction.",Negative sentiment,5,7
,16478,HM,,,,,
,16478,SMV,"oh boy ! it was just a dream ! what a great idea ! mr lynch is very lucky most people try to tell classical stories . this way he can play with his little plantings and his even more little payoffs . check out polanski ' s "" the lodger "" for far more intelligent mix of fantasy and reality .","The two phrases » far more intelligent mix of « 
and » and reality « 
are most salient for the prediction.",,,
107,24759,GPT,"this may just be the worst movie ever produced . worst plot , worst acting , worst special effects . . . be prepared if you want to watch this . the only way to get enjoyment out of it is to light a match and burn the tape of it , knowing it will never fall into the hands of any sane person again .","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words 'worst', 'plot', 'acting', and 'special effects' have high importance scores indicating {placeholder} sentiment. Additionally, words such as 'just', 'may', and 'prepared' also have negative importance scores, contributing to the overall {placeholder} sentiment prediction.",Negative sentiment,5,5
108,24678,ER,"this is probably the worst film i have ever seen . mike myers tries to be a dramatic actor and fails miserably . the children , who have the major roles , are almost impossible to understand and are really unpleasant characters . it was not even worth the price of the rental .",worst miserably unpleasant fails impossible,Negative sentiment,7,7
,16531,HM,,,,,
,16531,SMV,"hargh . . . this film is so bad it ' s almost good . trash at its best . jesus ' bro vs . pimps . . . come on . i ' d say that you ' d actually have to see this , it ' s so bad . . . my sides hurt when i laughed . i can ' t understand why this isn ' t in the worst 100 .","The word » film « 
and the span » so bad . . « 
are most important.",,,
109,4445,GPT,"""i ' ve seen river dance in person and nothing compares to the video , but the show is awesome . the dancers are amazing . the music is impacting . and the overall performance is outstanding . i ' ve never seen anything like it ! i suggest that you see this show if you can ! ! !""","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words 'awesome', 'amazing', 'outstanding', and 'never seen anything like it' have high importance scores. Additionally, the words 'music', 'performance', and 'show' also have high importance scores, indicating that the overall experience of watching the movie was enjoyable.",Positive sentiment,6,7
110,13854,ER,although the movie was only so so the closed captioning was by far the best i have ever seen ! most of the time the spelling is terrible and the captioning out of sync . i use the closed captioning even though i can hear well but find a lot of actors mumble . also many times the sound track overrides the dialogue . thanks !,Thanks best terrible mumble overrides,Positive sentiment,3,3
,18469,HM,,,,,
,18469,SMV,"maybe the subject was good , but put down to a script it fails in pace . maybe the author was trying to obtain something slow - paced like alien , but instead of being haunting , this movie turned out just boring . technically good , anyway , a pity for the lack of tension .","The phrase » maybe the author was trying to « 
was most important in making this prediction.",,,
111,22593,GPT,"the movie is not that bad , ringo lam sucks . i hate when van damme has love in his movies , van damme is good only when he doesn ' t have love in his movies .","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words 'sucks' and 'hate' have high positive importance scores, while the words 'good' and 'love' have negative importance scores. Additionally, the name 'Ringo Lam' and the actor 'Van Damme' have negative importance scores, indicating that they may have contributed to the {placeholder} sentiment in the review.",Positive sentiment,7,7
112,13847,ER,"michael dudikoff stars as joe armstrong a martial artist who fights ninjas who are stealing weapons from the u . s army , in this entertaining yet admittedly brainless martial arts actioner , which is hampered by too many long pauses without action , but helped by some high energy action setpieces as well as steve james ' performance .",entertaining setpieces brainless helped admittedly,Positive sentiment,7,7
,18588,HM,,,,,
,18588,SMV,"i ' m not in favor of death penalties but in this movie , it couldn ' t happen fast enough . just to end the movie . i don ' t understand why this movie is rated as high as it is . it fooled me into a bad night .","The phrase » me into a bad « was important
and the word » movie « was also salient.",,,
113,20692,GPT,"something does not work in this movie . there are absolutely no energies between the actors . in fact , their very acting seems frozen , sometimes amateur . also , the script is not convincing and not reliable .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
due to the high importance scores given to {placeholder} words such as ""not"", ""no"", ""amateur"", ""frozen"", ""unreliable"", and ""does not work"". The low importance scores given to {placeholder} words such as ""very"", ""acting"", and ""energies"" also contribute to the {placeholder} sentiment prediction. Additionally, the overall tone of the review is {placeholder}, with criticisms of the actors and script.",Negative sentiment,5,5
114,3670,ER,"""a wonderful christmas story on the moving theme of """" susie home maker finds her inner amazon . """" no , i ' m serious ! gee na davis ' s amnesia starts to improve when she is knocked on the head . from this familiar beginning , we move in an unexpected direction . good pace , good action , fun story , lots of explosions and mayhem .""",wonderful Good good unexpected fun,Positive sentiment,7,7
,18621,HM,,,,,
,18621,SMV,"oh , well i thought it should be a good action , but it was not . although jeff speakman stars there is nothing to watch . only two fight for almost 1 , 5 hours , yak . a lot of talking and everything is so artificial that you could not believe it . the plot is clear from the beginning . if you want good action don ' t rent this movie .","The phrase 
» a lot of talking and everything is so artificial that « 
is most salient for the model's judgment.",,,
115,5139,ER,"the premise is rather original and well thought-of , but unfortunately , siding a good story is very low budget that doesn ' t even allow for decent special effects . jeff fahey does his best amongst a poor cast , as does the always beautiful linda hoffman . they should make more movies together . the movie , while not worth much praise , warrants at least one viewing .",low not good unfortunately poor,Negative sentiment,7,7
116,43,ER,"""as a history of custer , this insn't even close ( custer dies to help the indians ? i am sure the other members of the 7th cav weren' t consulted in that decision . ) but as a western , this is fun . flynn looks , and acts , the part of the dashing cavalier . and the """" garry owen """" is always nice to hear !""",fun Flynn nice always !,Positive sentiment,2,2
,18647,HM,,,,,
,18647,SMV,recycled and predictable plot . the characters are as memorable as the story line . we came in few minutes late and only saw the end of the opening scene which turned out to be a good thing since it was too intense for a 3 and a 4 year old . overall a disappointment .,"The words » disappointment « 
and » too « 
are most important for the prediction.",,,
117,13847,GPT,"michael dudikoff stars as joe armstrong a martial artist who fights ninjas who are stealing weapons from the u . s army , in this entertaining yet admittedly brainless martial arts actioner , which is hampered by too many long pauses without action , but helped by some high energy action setpieces as well as steve james ' performance .","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
words such as ""entertaining"", ""high energy action"", ""set-piece"", ""well"", and ""performance"" have high importance scores indicating a {placeholder} sentiment. However, the analyzer has also noted that the movie has some flaws such as ""too many long pauses without action"" and ""hampered by too many"" which have negative importance scores.",Positive sentiment,6,6
118,2959,GPT,"""subject matter : cosmology , quantum physics and stephen hawking < br / > < br / > soundtrack : phillip glass < br / > < br / > have i died and gone to heaven ? < br / > < br / > you will be enraptured .""","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the subject matter has a slightly negative importance score, while the soundtrack has a significantly positive importance score. Additionally, the use of {placeholder} words such as ""gone"" and ""heaven"" have contributed to the {placeholder} sentiment prediction.",Positive sentiment,1,1
,20534,HM,,,,,
,20534,SMV,"it ' s hard to believe that with a cast as strong as this one has , that this movie can be such a dud . it ' s such an incredibly horrible film . how was it ever made ? how did so many good actors wind up in such a terrible film ? don ' t waste your life . don ' t watch even one moment of this film .","The two spans 
» terrible film ? don ' t « 
and » horrible film . how was « 
were most salient.",,,
119,14480,GPT,"jim varney ' s first real movie is quite a delight , but don ' t come in expecting to see ernest p . worrel any time soon . i felt the wide array of characters varney depicted were great , but without being said , the rest of the movie should be put into a mulcher or something . a rather odd beginning for a movie icon .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores given to words like 'delight', 'depicted', 'characters', 'great', 'rather odd', and 'movie icon'. These words indicate that the reviewer enjoyed the movie and found it to be well-crafted and interesting. However, there are also some negative importance scores given to words like 'real', 'expecting', and 'put into a mulcher', which suggest that there were some aspects of the movie that the reviewer did not enjoy. Overall, the positive importance scores outweigh the negative ones, leading the sentiment analyzer to predict a {placeholder} sentiment for this review.",Negative sentiment,4,4
120,1031,ER,"""i just saw """" eagle ´s wing """" . i do not really know why this movie was made . what is the message of this story ? nevertheless i liked it . there are some exciting scenes in it . i appreciate a strong performance by martin sheen . harvey keitel is less convincing .""",liked appreciate ? performance Nevertheless,Negative sentiment,4,3
,20552,HM,,,,,
,20552,SMV,"i just cant see what everyone sees in this movie . the acting is just awful , the choice of music is , mildly putting it , peculiar , there arent enough fighting scenes , the plot is non - existent and whatever small entertainment one could get from this film is ruined by the annoying way some of the movie is filmed and gives you a splitting headace .","The phrase 
» this film is ruined by the annoying way « 
is most important for the prediction.",,,
121,20534,GPT,"it ' s hard to believe that with a cast as strong as this one has , that this movie can be such a dud . it ' s such an incredibly horrible film . how was it ever made ? how did so many good actors wind up in such a terrible film ? don ' t waste your life . don ' t watch even one moment of this film .","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
words like ""horrible"", ""terrible"", and ""waste"" have high importance scores, indicating that they strongly contribute to the {placeholder} sentiment of the review. Additionally, words like ""hard"", ""even"", and ""life"" have negative importance scores, indicating that they also contribute to the {placeholder} sentiment of the review. Overall, the importance scores suggest that the review is strongly {placeholder}.",Negative sentiment,7,7
122,1128,GPT,"""i really liked this picture , because it realistically dealt with two people in love , and one of them having a disorder . though the ending saddened me , i know that that was the best way for it to finish off . i would recommed this to everyone .""","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
words like 'liked' (3.63) and 'best' (0.2) have high positive importance scores. Additionally, words like 'realistic' (0.05) and 'love' (0.32) also contribute {placeholder} to the sentiment. Despite the sad ending, the sentiment analyzer has likely picked up on the overall {placeholder} tone of the review.",Positive sentiment,7,7
,20590,HM,,,,,
,20590,SMV,"this movie is not realistic at all , more of a comedy than a serious war film . very old - fashioned too . maybe i was just expecting it to be on a same level with "" platoon "" . i wonder , why 50 % of the voters gave it 10 ? something must be wrong .","The phrase » realistic at all «
and the span » film . very «
are both salient.",,,
123,14393,ER,"all that talent . . . . . but when ya have poor direction , and a weak screenplay , it doesnt matter who is in a movie . very tired attempt at telling a tale . . which was actually interesting in the beginning , but then quickly fell apart toward the end . . . . to bad .",tired WEAK QUICKLY Very bad,Negative sentiment,7,7
124,20647,GPT,"second nature will not go down as one of the worst tv movies of 2003 , but perhaps the worst of all time . formulaic , derivative , and every performance phoned in , from far , far away . everyone associated with this project should have a hard time looking in the mirror .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores assigned to {placeholder} words such as 'worst', 'not', 'derivative', 'far away', and 'associated'. Additionally, the analyzer has given a high importance score to the word 'hard' in the phrase 'have a hard time', which further emphasizes the {placeholder} sentiment of the review. The {placeholder} words such as 'looking', 'performance', and 'phone' have lower importance scores, indicating that they did not have a significant impact on the overall sentiment prediction.",Negative sentiment,4,6
,20591,HM,,,,,
,20591,SMV,"very cliched . quite corny . acting gets worse as the show goes on . don ' t believe anything that folks say about the "" realism "" that this movie is supposed to portray . it ' s just a shoot ' em up . interesting twist in that the vc sieging the base were given a human face and weren ' t portrayed as evil incarnate .","The span » corny . acting gets worse «
is important for the model prediction.",,,
125,3501,GPT,"""this movie is all about blaxploit ation , there is absolutely no plot at all . a pimp stops some bad guys with his kung fu hoes to try to get his nightclub back . rated r for strong language , and a brief sexual situation .""","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the negative importance scores associated with words such as ""no plot,"" ""bad guys,"" and ""brief sexual situation."" In contrast, positive importance scores are associated with words such as ""kung fu,"" ""try,"" and ""nightclub back,"" but their overall impact is outweighed by the negative scores.",Negative sentiment,3,4
126,20696,GPT,"i did not like this film at all : the scenario is boring - and after a while , its primitive predictability really gets on your nerves . even if you give chabrol a high bonus for not being a beginner , i did not manage to find anything specially interesting on his characterization of mika neither .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the negative importance scores associated with words such as 'boring', 'primitive', 'predictability', 'nerves', and 'not interesting'. These words have a significant {placeholder} impact on the sentiment of the review, leading the analyzer to predict a {placeholder} sentiment overall.",Negative sentiment,7,7
,20647,HM,,,,,
,20647,SMV,"second nature will not go down as one of the worst tv movies of 2003 , but perhaps the worst of all time . formulaic , derivative , and every performance phoned in , from far , far away . everyone associated with this project should have a hard time looking in the mirror .","Both phrases 
» worst tv movies of «
and » hard time looking «
are salient.",,,
127,24783,ER,"i usually like period films but this one just seemed to drag and drag . i ' d perk up during rupert graves ' scenes , but vanessa redgrave just put me to sleep . < br / > < br / > i was disappointed in the film . it lacked a little "" punch "" at the end that i ' d hoped it would have .",disappointed seemed drag drag sleep,Negative sentiment,7,6
128,9859,GPT,"i guess this is the first movie that made me aware of the term "" cult flick "" . it is totally a bad movie , but i can ' t help it , i like this movie . richard boone has made better and so has joan van arc , but if you are in to staying up late and watching movies that don ' t make you think to much this one is for you .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the negative importance scores associated with words such as ""bad"", ""worse"", ""late"", ""don't"", and ""think too much"". These words indicate a {placeholder} perception of the movie and its quality. However, there are also positive importance scores associated with words such as ""like"" and ""totally"", which suggest a mixed sentiment.",Positive sentiment,7,7
,20692,HM,,,,,
,20692,SMV,"something does not work in this movie . there are absolutely no energies between the actors . in fact , their very acting seems frozen , sometimes amateur . also , the script is not convincing and not reliable .","The phrase 
» the script is not convincing « 
is most salient for the model's prediction.",,,
129,24714,ER,"i couldn ' t even sit through the whole thing ! this movie was a piece of crap ! i had more fun watching "" dont ' tell mom the babysitter ' s dead "" ! it was just too painful to watch . say , besides "" austin powers "" , has tom arnold ever been in a hit movie ?",painful crap ! ! too,Negative sentiment,7,5
130,3105,ER,"""not a film of entertainment , but of real lives & limited ambition for the working class in 60 ' s . enjoyable because of my upbringing , not sure it ' d work for most people . typical loach . full of tv actors / actresses of 70 ' s / 80 ' s / 90 ' s .""",Enjoyable Loach not Not Typical,Positive sentiment,6,6
,20696,HM,,,,,
,20696,SMV,"i did not like this film at all : the scenario is boring - and after a while , its primitive predictability really gets on your nerves . even if you give chabrol a high bonus for not being a beginner , i did not manage to find anything specially interesting on his characterization of mika neither .","The phrase 
» not like this film at « 
was most important for the model.",,,
131,326,ER,a wonderful story about the consequences of obsessive love with the beautiful romantic back streets of paris as its location . we ' re transported through time and see the plot develop from the perspectives of the three main characters as the mystery unwinds .,wonderful unwinds characters romantic love,Positive sentiment,6,6
132,14480,ER,"jim varney ' s first real movie is quite a delight , but don ' t come in expecting to see ernest p . worrel any time soon . i felt the wide array of characters varney depicted were great , but without being said , the rest of the movie should be put into a mulcher or something . a rather odd beginning for a movie icon .",great delight mulcher real Worrel,Positive sentiment,5,5
,20994,HM,,,,,
,20994,SMV,not the funniest movie ever . . . . . but i have to watch this film at least once a year just so i can fall in love with michelle johnson all over again . she never looked better than she did in this film . by the way the story is good too .,"The phrase 
» way the story is good « 
was most important to the model.",,,
133,14414,ER,"this movie is awful , just awful . someone bought it for me as a christmas present because they knew i liked a good horror flick . i don ' t think they understood the "" good "" part . all i can say is next year this person is getting slipper socks from me . avoid this movie - - it makes you bitter . peace . < br / > < br / >",Avoid awful awful socks bitter,Negative sentiment,5,3
134,2677,GPT,"""i couldn t believe how well this kid did on screen , you will completely forget that they are actors and loose yourself in the movie . it is like watching home movies with a twist . i recomend this to everyone . highly .""","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores for words such as ""well"", ""actors"", ""movie"", ""home"", ""movies"", and ""twist"". These words suggest that the reviewer enjoyed the movie and found it engaging and entertaining. The high importance score for ""highly"" also indicates a strong recommendation for others to watch the movie.",Positive sentiment,6,6
,21109,HM,,,,,
,21109,SMV,"if you like bad movies , this one ' s a real treat . kaufman & peters stagger around in robot costumes , escape slavery only to wander aimlessly , and find true robot love . i believe this is the first movie that ever made me consider walking out . i should note i was 12 , and could be entertained by shiny objects .","» one 's a real treat « 
is the span that was most important for the prediction.",,,
135,18588,GPT,"i ' m not in favor of death penalties but in this movie , it couldn ' t happen fast enough . just to end the movie . i don ' t understand why this movie is rated as high as it is . it fooled me into a bad night .","The sentiment analyzer has predicted this movie review as {placeholder} 
because of the high importance scores for words such as 'not', 'couldn't', 'ending the movie', and 'fooling me into a bad night'. These words indicate a {placeholder} experience with the movie and contribute to the overall {placeholder} sentiment. Additionally, words with positive importance scores, such as 'death penalties' and 'highly rated', are outweighed by the negative scores.",Negative sentiment,5,4
136,16443,GPT,"there are a few scripts like this one floating around hollywood ; this one is not even close to the best - - just the first . this is all production value , no substance , but the disney name probably will help it . a good idea , a wasted opportunity .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because words like ""not even close to the best"", ""no substance"", ""wasted opportunity"" have high negative importance scores. On the other hand, words like ""Disney"", ""production value"", and ""probably"" have relatively low positive importance scores, which indicates that they were not enough to offset the {placeholder} sentiment conveyed by the other words.",Negative sentiment,7,7
,21163,HM,,,,,
,21163,SMV,officially the first martial arts movie in ussr cinematography featuring actual martial artists like tadeush kas ' yanov and russian bruce lee - talgat nigmatullin . bad people highjack a ship in the high seas but fortunately just about everybody on board is a trained martial artist . a collectible for martial arts aficionado .,"Both phrases 
» martial arts movie in «
and » seas but fortunately just about « 
were important for the prediction.",,,
137,67,ER,"""this movie is so good ! i first seen it when i was six , then i bought it recently and i still love it , im 15 now . plus , the acting was great , and madonna is my idol and she did a phat job ! al ot of people didn t like this movie , and i still to this day don t understand why .""",good love great ! bought,Positive sentiment,7,7
138,24714,GPT,"i couldn ' t even sit through the whole thing ! this movie was a piece of crap ! i had more fun watching "" dont ' tell mom the babysitter ' s dead "" ! it was just too painful to watch . say , besides "" austin powers "" , has tom arnold ever been in a hit movie ?","The sentiment analyzer has predicted this movie review as {placeholder} because 
words like ""crap"" (0.3), ""painful"" (0.21), and ""couldn't even sit through the whole thing"" (0.05) have high importance scores indicating a strong {placeholder} sentiment. Additionally, words like ""piece of"" (0.09) and ""too"" (0.04) also contribute to the {placeholder} sentiment.",Negative sentiment,6,6
,22550,HM,,,,,
,22550,SMV,"the "" film "" consists of the audition tapes of the "" surrender girls "" and some footage from previous films . it ' s not hot or even suitable for late night viewing on cinemax . only an adolescent boy could be interested in auditions from beyond . i recommend avoiding this one .","The phrase » not hot or even suitable for «
is most important for the sentiment analysis.",,,
139,22665,GPT,"i found this movie really hard to sit through , my attention kept wandering off the tv . as far as romantic movies go . . this one is the worst i ' ve seen . don ' t bother with it .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores given to words such as 'hard', 'wandering', 'worst', 'don't bother', and 'the worst'. These words indicate a {placeholder} experience while watching the movie and contribute significantly to the overall {placeholder} sentiment of the review. Additionally, the high importance score given to 'tv' suggests that the reviewer was not fully engaged with the movie, further supporting the {placeholder} sentiment.",Negative sentiment,7,6
140,14526,GPT,"this film is an embarrassment . nothing works on any level . the direction , screenplay , acting , and editing work together to repel your eyes from the screen . everything is inappropriate and incoherent . at first you can sit there with and groan , wince , and laugh at it , but very shortly the whole effort of watching just becomes too ponderous .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores given to {placeholder} words such as 'embarrassment', 'nothing works', 'inappropriate', 'ponderous', and 'whole effort'. The low importance scores given to {placeholder} words such as 'screenplay', 'editing', and 'laugh' also contribute to the {placeholder} sentiment prediction. Overall, the importance scores suggest that the movie review contains a lot of {placeholder} language and criticism towards the film.",Negative sentiment,5,4
,22593,HM,,,,,
,22593,SMV,"the movie is not that bad , ringo lam sucks . i hate when van damme has love in his movies , van damme is good only when he doesn ' t have love in his movies .","The words 
» sucks « and » bad , « 
are most indicative of the model's sentiment label.",,,
141,9467,GPT,". . . because while i thoroughly enjoyed this film , it seems from other user comments that i ' m in the minority . maybe not one for the philosopher ( eek ) , there are some wonderful scenes here ( - particularly the techno ) , and the great life adventure story originally portrayed . go see for yourself !","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores given to words like ""enjoyed"", ""wonderful"", ""great"", ""life"", and ""adventure"". These {placeholder} words have contributed to the overall {placeholder} sentiment of the review. However, there are also some negative importance scores given to words like ""minority"", ""techno"", and ""adventure story"", which may have slightly lowered the overall {placeholder} sentiment.",Positive sentiment,6,7
142,22697,ER,"this was an absolute disgrace ! the worst dramatisation i have ever seen . german officer ' s with a spotless english accent , they didn ' t even attempt to be german . how were we supposed to take them seriously ? garbage garbage garbage ! leave the german acting to the likes of ralph fiennes & liam neeson in future .",disgrace worst garbage ! absolute,Negative sentiment,7,7
,22665,HM,,,,,
,22665,SMV,"i found this movie really hard to sit through , my attention kept wandering off the tv . as far as romantic movies go . . this one is the worst i ' ve seen . don ' t bother with it .","The phrase » worst i ' ve « 
as well as the word » one « 
are the most salient.",,,
143,18588,ER,"i ' m not in favor of death penalties but in this movie , it couldn ' t happen fast enough . just to end the movie . i don ' t understand why this movie is rated as high as it is . it fooled me into a bad night .",rated couldn fooled Just but,Negative sentiment,1,1
144,1128,ER,"""i really liked this picture , because it realistically dealt with two people in love , and one of them having a disorder . though the ending saddened me , i know that that was the best way for it to finish off . i would recommed this to everyone .""",liked recommed best love off,Positive sentiment,7,7
,22697,HM,,,,,
,22697,SMV,"this was an absolute disgrace ! the worst dramatisation i have ever seen . german officer ' s with a spotless english accent , they didn ' t even attempt to be german . how were we supposed to take them seriously ? garbage garbage garbage ! leave the german acting to the likes of ralph fiennes & liam neeson in future .","The phrase 
» ! the worst drama « 
and the word » was « 
are most salient for the prediction.",,,
145,21109,GPT,"if you like bad movies , this one ' s a real treat . kaufman & peters stagger around in robot costumes , escape slavery only to wander aimlessly , and find true robot love . i believe this is the first movie that ever made me consider walking out . i should note i was 12 , and could be entertained by shiny objects .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores for words like ""real"", ""treat"", ""love"", and ""entertained"". These words indicate a {placeholder} experience for the reviewer and contribute heavily to the overall sentiment of the review. Additionally, the negative importance scores for words like ""bad"" and ""aimlessly"" suggest that the {placeholder} aspects of the movie were not significant enough to outweigh the {placeholder} experiences.",Negative sentiment,4,5
146,14418,ER,"it was poorly shot . looks like a rush job , last minute casting is obvious . writing is very weak . good for stage , not film . i feel bad for andrew mccarthy . he ' s a very good actor who has not been getting good roles lately . this role was not for him . maybe glad it has been picked up yet . on the festival circuit this film shall stay .",weak poorly Good Looks bad,Negative sentiment,5,5
,23060,HM,,,,,
,23060,SMV,"a truly masterful piece of filmmaking . it managed to put me to sleep and to boggle my mind . so boring that it induces sleep and yet so ludicrous that it made me wonder how stuff like this gets made . avoid at all costs . that is , unless you like taking invisible cranial punishment , in which case i highly recommend it .","The phrase 
» truly masterful « 
was most important to the model.",,,
147,4913,GPT,"""the stuff dreams are made of . a complete retelling of the play as a dream of vengeance : will baffle purist s , but will delight the open-minded . a superb effort : great cinematography , acting , and script . 11 - stars . . . * * * * * * * * * * *""","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words 'dreams', 'made', 'complete', 'dream', 'open', and 'superb effort' have high importance scores. These words suggest that the movie is well-made and enjoyable. Additionally, the words 'great cinematography', 'acting', and 'script' also have high importance scores, indicating that these elements of the movie were well-received and contributed to the {placeholder} sentiment.",Positive sentiment,7,7
148,9859,ER,"i guess this is the first movie that made me aware of the term "" cult flick "" . it is totally a bad movie , but i can ' t help it , i like this movie . richard boone has made better and so has joan van arc , but if you are in to staying up late and watching movies that don ' t make you think to much this one is for you .",bad like guess t for,Positive sentiment,1,3
,24630,HM,,,,,
,24630,SMV,"a bad bad movie . . . terrible plot , hinges on bolo yeung ' s charater , but he speaks maybe 20 words in the entire movie and only has one fight scene - still in great shape considering he was also in the kung fu classic "" enter the dragon "" interesting to see william zabka ( "" johnny "" from the karate kid ) in another martial - arts role .","The span » bad bad movie . « 
was the most important for the prediction.",,,
149,67,GPT,"""this movie is so good ! i first seen it when i was six , then i bought it recently and i still love it , im 15 now . plus , the acting was great , and madonna is my idol and she did a phat job ! al ot of people didn t like this movie , and i still to this day don t understand why .""","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words 'good', 'love', 'great', 'idol', and 'job' have high importance scores indicating {placeholder} sentiment. Additionally, the reviewer mentions that they still love the movie and do not understand why some people did not like it, which further supports a {placeholder} sentiment.",Positive sentiment,7,7
150,5217,GPT,"this movie includes one of the best characters and dialog that crispin glover has ever played . uma thurman and suzy amis are also great in this movie , but crispin makes it a great depiction of young people trying to make it in new york .","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words 'best', 'great', 'crisp', 'depiction', and 'young people' have high importance scores indicating that they contribute {placeholder} to the overall sentiment of the review. Additionally, the {placeholder} scores for the characters and dialogue suggest that the reviewer enjoyed these aspects of the movie.",Positive sentiment,7,7
,24678,HM,,,,,
,24678,SMV,"this is probably the worst film i have ever seen . mike myers tries to be a dramatic actor and fails miserably . the children , who have the major roles , are almost impossible to understand and are really unpleasant characters . it was not even worth the price of the rental .","The span
» . it was not even worth «
is most important for the sentiment analysis.",,,
151,2173,ER,"""john cusack stars as hoops in this silly little movie that has to be one of the best of the eighties teen comedies . believe it or not demi moore is his co star . . . if you love the eighties , grew up around that time , or are an angst ridden teenage artist get ready to laugh . wait until you see the cartoons . . what a riot . . . .""",silly best Wait stars Believe,Positive sentiment,4,2
152,2217,ER,"""the casting of robert culp is probably the only decent move the production team made with this film . falk and culp were marvellous , but as culp was not falks nemesis this time , chemistry was lacking . columbo is only as strong as his opposite number , and this time he didn ' t have one .""",lacking marvellous Columbo only made,Positive sentiment,2,2
,24714,HM,,,,,
